Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Relative_Gap,Solution_Status
41,-4140.510613089399,298.1370310783386,-4140.5106130894,-4140.9246599412545,9.999898334893768e-5,OPTIMAL
42,-3166.0387889123754,200.65977597236633,-3166.0387889123767,-3166.3553926516083,9.999995588820564e-5,OPTIMAL
43,-3020.8648619240776,136.1979320049286,-3020.8648619240803,-3021.1663172330923,9.979106076926026e-5,OPTIMAL
44,-2762.574443344419,8.888191938400269,-2762.574443344421,-2762.848844618188,9.932810115875849e-5,OPTIMAL
45,-4211.140104186821,0.4869968891143799,-4211.140104186822,-4211.543334280699,9.575318889915739e-5,OPTIMAL
46,-3822.5260342225592,0.9067330360412598,-3822.526034222561,-3822.8292884244706,7.93334562523748e-5,OPTIMAL
47,-3675.329391825675,600.7575709819794,-3675.3293918256754,-3675.842292209647,0.000139552222206882,TIME_LIMIT
48,-3865.1034248051897,2.882972002029419,-3865.1034248051906,-3865.4899154745526,9.999491006673821e-5,OPTIMAL
49,-3850.3724563299393,24.23501491546631,-3850.372456329943,-3850.7566262260257,9.977473619498517e-5,OPTIMAL
50,-3139.2628701535295,3.237751007080078,-3139.2628701535305,-3139.574931948089,9.940607316630559e-5,OPTIMAL
51,-3634.8284214820924,29.84907603263855,-3634.8284214820924,-3635.190525090597,9.962055055049422e-5,OPTIMAL
52,-3097.7277002278524,29.69159698486328,-3097.7277002278543,-3098.0374109168392,9.997995916884091e-5,OPTIMAL
53,-2981.4611363806607,101.42765808105469,-2981.461136380662,-2981.7591649093606,9.996056130394664e-5,OPTIMAL
54,-3635.5602786064496,2.063460111618042,-3635.560278606451,-3635.920714899059,9.914188322746711e-5,OPTIMAL
55,-3869.5027500642323,27.198757886886597,-3869.5027500642336,-3869.8892462533645,9.988265007033291e-5,OPTIMAL
56,-2597.2029051590953,600.4539198875427,-2597.202905159097,-2597.802097843218,0.00023070692048373194,TIME_LIMIT
57,-3879.7133510890735,36.13929796218872,-3879.713351089075,-3880.1013139605657,9.999781849395764e-5,OPTIMAL
58,-4307.751874619689,600.343701839447,-4307.751874619692,-4309.15191133225,0.00032500402839050365,TIME_LIMIT
59,-3743.303513583697,19.412386894226074,-3743.303513583699,-3743.677583378145,9.993039385890683e-5,OPTIMAL
60,-3638.4031674140183,87.02008199691772,-3638.4031674140206,-3638.757263484605,9.732183441237737e-5,OPTIMAL
61,-3311.86636302846,345.4619469642639,-3311.866363028461,-3312.1975471252167,9.999923319760756e-5,OPTIMAL
62,-3614.4812973061653,600.0802638530731,-3614.481297306167,-3616.8166615732775,0.0006461132525020649,TIME_LIMIT
63,-4220.675418987563,0.3615260124206543,-4220.675418987566,-4221.0948133105685,9.936663717738438e-5,OPTIMAL
64,-3589.858612772347,16.73193597793579,-3589.858612772349,-3590.054881656351,5.467315155640268e-5,OPTIMAL
65,-4541.94143512484,1.6458728313446045,-4541.941435124841,-4542.375150896881,9.549127355232586e-5,OPTIMAL
66,-3887.966662803589,10.62927794456482,-3887.9666628035907,-3888.355374070743,9.997803501535048e-5,OPTIMAL
67,-4165.197124120444,0.011564970016479492,-4165.197124120445,-4165.533109172246,8.066486213968575e-5,OPTIMAL
68,-4582.818877414567,37.23883295059204,-4582.81887741457,-4583.2765438363,9.986570143230171e-5,OPTIMAL
69,-3444.8793262110985,1.3915321826934814,-3444.8793262111008,-3445.221636864689,9.936796653043911e-5,OPTIMAL
70,-3247.428231847795,0.8290009498596191,-3247.428231847797,-3247.7513996105968,9.95149822343238e-5,OPTIMAL
71,-2962.870420574272,10.768846988677979,-2962.8704205742733,-2963.1640245965646,9.909445254588707e-5,OPTIMAL
72,-3976.704742123084,2.4625449180603027,-3976.7047421230873,-3977.1022390782277,9.995636611639472e-5,OPTIMAL
73,-3341.317347118596,1.7343318462371826,-3341.3173471185974,-3341.649280036892,9.934193128372064e-5,OPTIMAL
74,-3012.1990758207676,4.78738808631897,-3012.1990758207685,-3012.4984533218153,9.938835166969668e-5,OPTIMAL
75,-3523.9596588983773,11.476770877838135,-3523.959658898378,-3524.308920419119,9.911053319214514e-5,OPTIMAL
76,-3893.0717589551855,38.46437096595764,-3893.071758955187,-3893.4608226012797,9.993744533423196e-5,OPTIMAL
77,-3939.064731903819,476.21677684783936,-3939.0647319038203,-3939.458607944553,9.999227419203735e-5,OPTIMAL
78,-3992.0884832670895,0.6862409114837646,-3992.0884832670918,-3992.247219267874,3.9762645905111754e-5,OPTIMAL
79,-3276.33525384082,1.1177008152008057,-3276.3352538408217,-3276.3397292272252,1.3659732770964166e-6,OPTIMAL
80,-3503.844286655186,17.873512029647827,-3503.8442866551877,-3504.1942096086314,9.986829459755154e-5,OPTIMAL
81,-3434.6459385000703,100.8304238319397,-3434.6459385000717,-3434.9892011901698,9.9941215555967e-5,OPTIMAL
82,-3557.8744469506382,2.9129178524017334,-3557.874446950639,-3558.226824418488,9.90415690893157e-5,OPTIMAL
