Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Duality_Gap,Solution_Status
25,-621.5388989635788,0.8999240398406982,-621.5388989635793,-621.6005271968411,9.915426591085657e-5,OPTIMAL
26,-1190.2333609631573,0.19609403610229492,-1190.2333609631576,-1190.3413246394102,9.070799037702233e-5,OPTIMAL
27,-1008.6533567086632,0.14580607414245605,-1008.6533567086636,-1008.6558146752822,2.4368794315444198e-6,OPTIMAL
28,-453.6188263615039,10.959536075592041,-453.6188263615042,-453.66405535582385,9.970704849800226e-5,OPTIMAL
29,-713.0947725330908,0.0853281021118164,-713.0947725330911,-713.0959308973314,1.6244183590820913e-6,OPTIMAL
30,-1123.8972096097293,0.05719804763793945,-1123.8972096097298,-1123.8986506904462,1.2822175409656136e-6,OPTIMAL
31,-705.3353231946519,0.21936607360839844,-705.3353231946521,-705.3378096253539,3.525175359860142e-6,OPTIMAL
32,-1116.3243389400882,0.13282394409179688,-1116.3243389400886,-1116.3250525184633,6.392213712019658e-7,OPTIMAL
33,-946.8691935442214,0.02698802947998047,-946.8691935442218,-946.8693035253632,1.1615241270861701e-7,OPTIMAL
34,-941.308348549468,0.00506591796875,-941.3083485494683,-941.3830365857283,7.934492068946793e-5,OPTIMAL
35,-898.9212731242309,0.15140295028686523,-898.9212731242311,-899.007941485929,9.641373976684353e-5,OPTIMAL
36,-821.7956774973036,0.028065919876098633,-821.795677497304,-821.7957382067868,7.387418120821789e-8,OPTIMAL
37,-617.0243795399152,0.3139619827270508,-617.0243795399156,-617.0251689962678,1.279457308959409e-6,OPTIMAL
38,-1374.5366497655937,0.012029886245727539,-1374.5366497655943,-1374.6555491015315,8.650139372960752e-5,OPTIMAL
39,-1242.346508204975,0.0023789405822753906,-1242.3465082049754,-1242.4132853485594,5.3750820035269756e-5,OPTIMAL
40,-976.3882154864874,0.1775369644165039,-976.3882154864879,-976.3891576300645,9.649272304304367e-7,OPTIMAL
41,-942.0390725770641,0.12306499481201172,-942.0390725770646,-942.1192303347307,8.508963162933283e-5,OPTIMAL
42,-857.3930448839697,0.12814116477966309,-857.3930448839703,-857.3938061739265,8.879124465417495e-7,OPTIMAL
43,-781.3162043174646,0.19843506813049316,-781.316204317465,-781.3171946905769,1.2675701674060352e-6,OPTIMAL
44,-784.1698363800406,0.13275790214538574,-784.169836380041,-784.1707407055987,1.1532266554489008e-6,OPTIMAL
45,-1418.084668255165,0.0060749053955078125,-1418.084668255166,-1418.2163907144368,9.288758437313092e-5,OPTIMAL
46,-1013.8485731951661,0.2090911865234375,-1013.8485731951666,-1013.8502435815934,1.6475699339563633e-6,OPTIMAL
47,-817.482479301324,0.08603191375732422,-817.4824793013244,-817.5610079889564,9.606161553347026e-5,OPTIMAL
48,-1049.617088270623,0.2503221035003662,-1049.6170882706235,-1049.6211053701804,3.8272047985827945e-6,OPTIMAL
49,-1305.3004880527114,0.14993691444396973,-1305.3004880527117,-1305.3010811391105,4.543677139651762e-7,OPTIMAL
50,-935.7742297911791,0.008816957473754883,-935.7742297911794,-935.8530214540484,8.419943653134595e-5,OPTIMAL
51,-897.1815116914347,0.09666705131530762,-897.1815116914352,-897.1819140310474,4.4844839870384974e-7,OPTIMAL
52,-586.8755865113495,0.29564905166625977,-586.87558651135,-586.9291299263747,9.123469480641102e-5,OPTIMAL
53,-615.5312576594622,0.09315609931945801,-615.5312576594627,-615.5317571530614,8.114837265851037e-7,OPTIMAL
54,-857.1274373864832,0.002398967742919922,-857.1274373864836,-857.2028477157199,8.798030018295633e-5,OPTIMAL
55,-938.71168072172,0.28293800354003906,-938.7116807217202,-938.712343512238,7.06063993272546e-7,OPTIMAL
56,-504.6151388890443,0.14713406562805176,-504.6151388890449,-504.65914645107705,8.721015015332566e-5,OPTIMAL
57,-1151.6671816637336,0.044571876525878906,-1151.667181663734,-1151.6864716195787,1.6749592375117615e-5,OPTIMAL
58,-1100.4162015989987,0.24027705192565918,-1100.4162015989994,-1100.4745199456759,5.299662672338707e-5,OPTIMAL
59,-1024.1970645968693,0.16470694541931152,-1024.1970645968695,-1024.2962597521582,9.685163013795588e-5,OPTIMAL
60,-1041.3532021197664,0.2023308277130127,-1041.353202119767,-1041.4407943252027,8.411382925341976e-5,OPTIMAL
61,-853.2301505985156,0.31972384452819824,-853.2301505985158,-853.2308548974818,8.254501619083293e-7,OPTIMAL
62,-933.2984700800679,0.2428600788116455,-933.2984700800683,-933.2996921351888,1.3093936823598934e-6,OPTIMAL
63,-935.0941299287326,0.055258989334106445,-935.0941299287331,-935.0945205597042,4.177450788965575e-7,OPTIMAL
64,-998.1589747145192,0.18367600440979004,-998.1589747145197,-998.1597333083706,7.599930173080306e-7,OPTIMAL
65,-1089.1494754210494,0.1051020622253418,-1089.14947542105,-1089.1501550220753,6.239740646960609e-7,OPTIMAL
66,-949.3985897426368,0.2771279811859131,-949.3985897426373,-949.4907265735576,9.704757508142097e-5,OPTIMAL
67,-818.4653456360946,0.005164146423339844,-818.4653456360951,-818.5229737743638,7.040999179249119e-5,OPTIMAL
68,-782.396294653183,0.13381600379943848,-782.3962946531835,-782.3989682114334,3.4171407356139607e-6,OPTIMAL
69,-805.4270364182778,0.025105953216552734,-805.4270364182785,-805.4697835950809,5.307392832568278e-5,OPTIMAL
70,-835.5608457947701,0.006916046142578125,-835.5608457947704,-835.6331287847325,8.650834984176617e-5,OPTIMAL
71,-942.5038362650752,0.09509587287902832,-942.5038362650757,-942.5049094202195,1.1386215127126157e-6,OPTIMAL
72,-1081.771841570924,0.008785009384155273,-1081.7718415709242,-1081.8544818351754,7.639343258487081e-5,OPTIMAL
73,-881.2212862531577,0.03847098350524902,-881.2212862531583,-881.2700608165685,5.5348825738892044e-5,OPTIMAL
74,-832.427095255718,0.039888858795166016,-832.4270952557184,-832.4275865835117,5.902352242860488e-7,OPTIMAL
75,-905.8891858486418,1.2974209785461426,-905.8891858486421,-905.9738413482024,9.345017126018313e-5,OPTIMAL
76,-1187.0100677071885,0.034126996994018555,-1187.0100677071891,-1187.0101123699812,3.762629595276377e-8,OPTIMAL
77,-1080.0419820309892,0.21532201766967773,-1080.0419820309899,-1080.109826631773,6.281663297537755e-5,OPTIMAL
78,-1005.4193355353686,0.013545036315917969,-1005.4193355353691,-1005.5158861088075,9.603015381339758e-5,OPTIMAL
79,-666.39698635718,0.01155996322631836,-666.3969863571806,-666.4348787987981,5.6861664132993646e-5,OPTIMAL
80,-925.0798560491519,0.1501448154449463,-925.0798560491521,-925.1717581140545,9.934500713790201e-5,OPTIMAL
81,-1050.720609211868,0.004261970520019531,-1050.7206092118686,-1050.825290383085,9.962797940644573e-5,OPTIMAL
82,-869.1080606493933,0.051544904708862305,-869.1080606493938,-869.1082409399731,2.074432254331658e-7,OPTIMAL
83,-651.636501377417,1.5800220966339111,-651.6365013774174,-651.6969054921799,9.269602705618975e-5,OPTIMAL
84,-801.0611241306071,0.09349489212036133,-801.0611241306077,-801.0631466116138,2.5247524129449403e-6,OPTIMAL
85,-922.6128789028511,0.019781827926635742,-922.6128789028517,-922.6763023391587,6.874328091157422e-5,OPTIMAL
86,-907.0855976600049,0.0059070587158203125,-907.0855976600053,-907.1696039949677,9.261125430620511e-5,OPTIMAL
87,-859.244733296928,0.0028939247131347656,-859.2447332969285,-859.3210280363287,8.879279260451925e-5,OPTIMAL
88,-1084.8610474133432,0.7848238945007324,-1084.8610474133436,-1084.963157783343,9.412299413161118e-5,OPTIMAL
89,-1114.3335407108211,0.05936121940612793,-1114.3335407108216,-1114.3344774685017,8.406438879758293e-7,OPTIMAL
90,-565.4850718771312,1.2151179313659668,-565.4850718771315,-565.4901610982726,8.999744456781958e-6,OPTIMAL
91,-898.7285390378341,0.026838064193725586,-898.7285390378346,-898.7391712300297,1.183025989857945e-5,OPTIMAL
92,-885.8326349553673,0.6763951778411865,-885.8326349553678,-885.920114061254,9.875353699363689e-5,OPTIMAL
93,-1146.4685633175316,0.0076520442962646484,-1146.468563317532,-1146.5748787019975,9.273292601918976e-5,OPTIMAL
94,-1058.8589569749447,0.006031036376953125,-1058.8589569749452,-1058.9470789402703,8.32235159788602e-5,OPTIMAL
95,-929.3310526942477,0.05810999870300293,-929.3310526942482,-929.3325792123198,1.642598799629538e-6,OPTIMAL
96,-1281.5189614046076,0.06267905235290527,-1281.5189614046083,-1281.5205633547387,1.2500401310108294e-6,OPTIMAL
97,-821.3826977614281,0.39558887481689453,-821.3826977614283,-821.3851059234685,2.9318392592708056e-6,OPTIMAL
98,-669.4876006749117,0.1502370834350586,-669.4876006749122,-669.4895860295551,2.965483813136914e-6,OPTIMAL
99,-885.1799480350596,0.0437471866607666,-885.1799480350602,-885.1800667992156,1.3416950497899016e-7,OPTIMAL
100,-976.1521380097579,0.006500959396362305,-976.1521380097581,-976.2202543491602,6.978045403962788e-5,OPTIMAL
