Instance_Number,Relaxation_Bound,Solution_Time,Best_Objective_Value,Best_Lower_Bound,Duality_Gap,Solution_Status
46,-14020.5542299614,600.005388975143,-14020.5542299614,-14026.5378760891,0.000426776718632877,TIME_LIMIT
47,-11951.0030921581,600.004117965698,-11951.0030921581,-11962.6425243564,0.000973929310248281,TIME_LIMIT
48,-14235.9937948124,600.012950897217,-14235.9937948124,-14240.8007830261,0.000337664393717121,TIME_LIMIT
49,-11958.8640323113,600.003444910049,-11958.8640323113,-11966.2538541198,0.000617936769616432,TIME_LIMIT
50,-13885.7859123283,600.003249883652,-13885.7859123283,-13891.2485997598,0.000393401386571008,TIME_LIMIT
51,-12752.803238347,600.001204967499,-12752.803238347,-12762.6589416766,0.000772826424537917,TIME_LIMIT
52,-13156.6029115785,600.008139133453,-13156.6029115785,-13162.3053981837,0.000433431535744707,TIME_LIMIT
53,-15103.366401472,600.001880168915,-15103.366401472,-15111.5560489403,0.000542239872262928,TIME_LIMIT
54,-13544.4594963706,600.0194439888,-13544.4594963706,-13548.0327167496,0.000263814172865196,TIME_LIMIT
55,-15052.8645441433,600.002632141113,-15052.8645441433,-15060.6133842777,0.000514775118827719,TIME_LIMIT
56,-13874.4687678488,600.005181074142,-13874.4687678488,-13879.1506945866,0.00033744908119069,TIME_LIMIT
57,-15305.5406056872,600.020822048187,-15305.5406056872,-15309.368189002,0.000250078282985581,TIME_LIMIT
58,-16587.4050255472,600.001883983612,-16587.4050255472,-16597.0707911764,0.000582717164878984,TIME_LIMIT
59,-14011.5568931142,600.011784076691,-14011.5568931143,-14016.8179273581,0.000375478205882392,TIME_LIMIT
60,-13306.8464407622,600.007264852524,-13306.8464407622,-13312.1806351294,0.000400860894498116,TIME_LIMIT
61,-15651.9561746079,600.00252699852,-15651.9561746079,-15662.6107341717,0.000680717441639031,TIME_LIMIT
62,-14454.1392143409,600.000936985016,-14454.1392143409,-14466.7176808982,0.000870232835784201,TIME_LIMIT
63,-14170.8188238455,600.010912895203,-14170.8188238455,-14175.3430866839,0.000319266154949991,TIME_LIMIT
64,-13910.1756396331,600.022967100143,-13910.1756396331,-13914.3334538706,0.000298904510281141,TIME_LIMIT
65,-17078.544158372,600.062319993973,-17078.544158372,-17080.9485525709,0.00014078449408144,TIME_LIMIT
66,-15351.0351015228,600.021960020065,-15351.0351015228,-15355.1003468357,0.000264818970577604,TIME_LIMIT
68,-17208.271979615,600.009649038315,-17208.271979615,-17213.9934763485,0.000332485257105091,TIME_LIMIT
69,-13145.8430017943,600.004659891129,-13145.8430017943,-13151.7570977598,0.000449883355879922,TIME_LIMIT
70,-13166.0909062168,600.025288105011,-13166.0909062168,-13169.0011453487,0.000221040485944196,TIME_LIMIT
71,-12046.0069634058,600.00127696991,-12046.0069634058,-12054.8731287944,0.000736025258456245,TIME_LIMIT
72,-16436.7680196136,600.045440196991,-16436.7680196136,-16440.2260647559,0.00021038473853905,TIME_LIMIT
73,-14506.7813117379,600.295213937759,-14506.7813117379,-14508.3690057,0.000109444950470678,TIME_LIMIT
74,-13816.8707896644,600.019330024719,-13816.8707896644,-13821.0412338067,0.000301837095087503,TIME_LIMIT
75,-13601.5452735023,600.00182390213,-13601.5452735023,-13609.6405294906,0.000595171785665781,TIME_LIMIT
76,-13939.6425150903,600.001664161682,-13939.6425150903,-13947.8601702464,0.000589516922489158,TIME_LIMIT
77,-14530.4178219555,600.001340866089,-14530.4178219555,-14543.5323065975,0.000902553856521817,TIME_LIMIT
78,-16088.3609202993,600.08550286293,-16088.3609202993,-16090.533386532,0.000135033409771545,TIME_LIMIT
79,-12410.415089452,600.034281015396,-12410.415089452,-12413.8114244109,0.000273668119434373,TIME_LIMIT
80,-15627.1100184331,600.002728939056,-15627.1100184331,-15635.0484307453,0.000507989788440944,TIME_LIMIT
81,-13967.6381562148,600.002914190292,-13967.6381562148,-13974.7131221198,0.000506525571884887,TIME_LIMIT
82,-13171.4390761179,600.005155086517,-13171.4390761179,-13177.516538036,0.00046141214205754,TIME_LIMIT
83,-11577.4372880633,600.001249074936,-11577.4372880633,-11591.4027441097,0.00120626488391764,TIME_LIMIT
84,-12163.4757049909,600.002223014832,-12163.4757049909,-12171.324962755,0.000645313720724666,TIME_LIMIT
85,-15041.0911383872,600.010906934738,-15041.0911383872,-15046.1092539368,0.000333627095497051,TIME_LIMIT
86,-14371.3345360609,600.024515867233,-14371.334536061,-14375.6474587168,0.000300105925793968,TIME_LIMIT
88,-13075.8197286575,600.001130104065,-13075.8197286575,-13087.6472023213,0.000904530186958873,TIME_LIMIT
89,-16025.0769794949,600.021826028824,-16025.0769794949,-16029.6601210226,0.000285998097455951,TIME_LIMIT
90,-12388.6924700543,600.006553173065,-12388.6924700543,-12394.3358997786,0.000455530697688215,TIME_LIMIT
91,-15221.10513459,600.028428077698,-15221.10513459,-15223.7307817489,0.000172500428565345,TIME_LIMIT
92,-13283.6372479585,600.001235961914,-13283.6372479585,-13292.3812689789,0.000658255028886114,TIME_LIMIT
93,-13112.9999468619,600.004556894302,-13112.9999468619,-13118.8845028827,0.000448757419708255,TIME_LIMIT
94,-12619.587361677,600.002259016037,-12619.587361677,-12627.2955352119,0.000610810267724045,TIME_LIMIT
95,-14502.2547766234,600.125816106796,-14502.2547766234,-14504.1658772685,0.000131779552524036,TIME_LIMIT
96,-16964.4927210174,600.114989995956,-16964.4927210174,-16966.7833935648,0.000135027470911786,TIME_LIMIT
97,-16994.9924733487,600.114720106125,-16994.9924733487,-16997.2709508591,0.00013406757984589,TIME_LIMIT
98,-14047.615076837,600.002347946167,-14047.615076837,-14055.6497541008,0.000571960238082727,TIME_LIMIT
99,-12967.3187122263,600.001883029938,-12967.3187122263,-12974.690500743,0.000568489807360877,TIME_LIMIT
100,-13993.3454199648,600.016705036163,-13993.3454199648,-13997.4359435657,0.000292319204459632,TIME_LIMIT
,,,,,,
,AVG,52.913022518158,,,0.0480625257360432,
,,,,,0.000235703556593297,
